cycle,range_bin,doppler_bin,output_hex
1174035000,25,10,00fafeab
1174045000,25,11,fd93020a
1174055000,25,12,0358fcd2
1174065000,25,13,fe7a0261
1174075000,25,14,00e9fe55
1174085000,25,15,00250086
1174095000,25,16,feab017b
1174105000,25,17,005cfe5a
1174115000,25,18,fe9401ca
1174125000,25,19,0176fed2
1174135000,25,20,005bffe5
1174145000,25,21,ff210041
1174155000,25,22,01110036
1174165000,25,23,fef3ff95
1174175000,25,24,021500cc
1174185000,25,25,ff3afecc
1174195000,25,26,ff4a0223
1174205000,25,27,ff4ffc08
1174215000,25,28,01cc0340
1174225000,25,29,fec00045
1174235000,25,30,018ffe3f
1174245000,25,31,fcd5ffe2
1179325000,26,0,007bfe19
1179335000,26,1,ffc7037b
1179345000,26,2,0093fdb5
1179355000,26,3,ff5a0029
1179365000,26,4,ff590087
1179375000,26,5,027e00e8
1179385000,26,6,fe3eff26
1179395000,26,7,0052ffbd
1179405000,26,8,004bffac
1179415000,26,9,ff1302ad
1179425000,26,10,0154fca4
1179435000,26,11,fe400272
1179445000,26,12,01b6fcc1
1179455000,26,13,00a00290
1179465000,26,14,fdc2fed6
1179475000,26,15,023801c9
1179485000,26,16,fe55fe33
1179495000,26,17,0153015f
1179505000,26,18,fe5dfef1
1179515000,26,19,007600db
1179525000,26,20,012ffe49
1179535000,26,21,fea60136
1179545000,26,22,015e00d8
1179555000,26,23,feacfd3f
1179565000,26,24,00e90334
1179575000,26,25,fee3fd4d
1179585000,26,26,01cc01ee
1179595000,26,27,fefcff26
1179605000,26,28,fede023b
1179615000,26,29,0224fcae
1179625000,26,30,ff8200ac
1179635000,26,31,feb600bf
1184715000,27,0,01d201ce
1184725000,27,1,ff8cff8a
1184735000,27,2,000b0004
1184745000,27,3,ff6201d7
1184755000,27,4,ffb5febb
1184765000,27,5,030c008e
1184775000,27,6,fbecffcc
1184785000,27,7,01d5ff28
1184795000,27,8,0098ff17
1184805000,27,9,ffc202de
1184815000,27,10,ffa5fcdd
1184825000,27,11,00710194
1184835000,27,12,ff21ffd2
1184845000,27,13,01b70013
1184855000,27,14,fd460060
1184865000,27,15,01edff46
1184875000,27,16,fe6600f6
1184885000,27,17,025cfed0
1184895000,27,18,fe59ffa2
1184905000,27,19,ff6801df
1184915000,27,20,00d9fd63
1184925000,27,21,ff980236
1184935000,27,22,01140026
1184945000,27,23,ff13ff9a
1184955000,27,24,ffcc0035
1184965000,27,25,0002ffa4
1184975000,27,26,01ab0035
1184985000,27,27,fe1dff46
1184995000,27,28,012d0180
1185005000,27,29,fea9feb5
1185015000,27,30,02de0206
1185025000,27,31,fcd3fc70
1190105000,28,0,013b0085
1190115000,28,1,ffae001b
1190125000,28,2,ff8dff4e
1190135000,28,3,016d0126
1190145000,28,4,fd67ff8a
1190155000,28,5,03c7006f
1190165000,28,6,fe9d008f
1190175000,28,7,fe64fea1
1190185000,28,8,00900131
